loss,mae,val_loss,val_mae
0.03930339217185974,0.151803657412529,0.02693195454776287,0.15872988104820251
0.028464995324611664,0.13619527220726013,0.012307471595704556,0.10069004446268082
0.020648349076509476,0.10885482281446457,0.004127687308937311,0.05522226542234421
0.015544779598712921,0.09760884195566177,0.0027876030653715134,0.04452066123485565
0.011929720640182495,0.08295752108097076,0.006984959356486797,0.07388067990541458
0.00969766266644001,0.07431387901306152,0.003678509034216404,0.05175391957163811
0.008170884102582932,0.06759767979383469,0.003157274331897497,0.047170985490083694
0.008495503105223179,0.06641712784767151,0.011449034325778484,0.09913560003042221
0.007645987439900637,0.06171244755387306,0.017270805314183235,0.12443282455205917
0.008233475498855114,0.06569816917181015,0.007237839512526989,0.07604041695594788
0.006338242441415787,0.058520518243312836,0.005918600130826235,0.068785160779953
0.006298644933849573,0.05623616278171539,0.006856835447251797,0.07488919794559479
0.006407046690583229,0.056350674480199814,0.001924697426147759,0.03559911251068115
0.006668447516858578,0.05857212096452713,0.0026720119640231133,0.04341239109635353
0.00715634785592556,0.061340175569057465,0.000984025071375072,0.025617482140660286
0.005833514034748077,0.05416832119226456,0.0036597030702978373,0.05305791273713112
0.005533807910978794,0.05223305895924568,0.003802115097641945,0.05354876443743706
0.005163181107491255,0.05096031352877617,0.0030637176241725683,0.04631275683641434
0.0058114188723266125,0.054259248077869415,0.0019809105433523655,0.036249369382858276
0.005092740524560213,0.04994335398077965,0.002005258807912469,0.03680229187011719
0.005319897551089525,0.05042482167482376,0.006847982294857502,0.0749700516462326
0.005238652694970369,0.05130695179104805,0.0012615780578926206,0.02855268120765686
0.004195785149931908,0.04660061001777649,0.002074741991236806,0.03805077448487282
0.004280421882867813,0.046192850917577744,0.005173709709197283,0.06397876143455505
0.004786864388734102,0.04712410643696785,0.004427803680300713,0.05786975473165512
0.004484617151319981,0.046578940004110336,0.005247230175882578,0.06386204063892365
0.004162470810115337,0.04615795239806175,0.004819248802959919,0.06138721480965614
0.004706837702542543,0.04767342656850815,0.006868175230920315,0.07534139603376389
0.00401912909001112,0.045367807149887085,0.0021481947042047977,0.03767586126923561
0.004049736075103283,0.045357704162597656,0.003721943823620677,0.0524989478290081
0.003967302851378918,0.04378202557563782,0.004768457729369402,0.0607982836663723
0.0036734247114509344,0.041170161217451096,0.005471478216350079,0.06618155539035797
0.003847595537081361,0.04237661883234978,0.0048841084353625774,0.06147967278957367
0.0037244181148707867,0.041602179408073425,0.0033931133802980185,0.04951570928096771
0.003922303672879934,0.043384622782468796,0.004115917719900608,0.05592197924852371
