y_true,y_pred
2855.0,2846.036
2843.0,2843.1492
2863.0,2856.1782
2854.0,2861.2637
2889.0,2897.575
2885.0,2886.9717
2896.0,2897.2527
2906.0,2895.288
2901.9999999999995,2892.9246
2887.0,2885.9778
2863.0,2862.4734
2855.0,2854.0884
2842.0,2843.1492
2840.0,2843.1492
2834.0,2851.1865
2869.0,2868.6829
2951.0,2937.5002
2924.0,2922.875
2914.0,2914.7588
2919.0,2918.829
2917.0,2920.9604
2949.0000000000005,2936.1765
2970.0,2972.5266
2967.0,2972.0999
2991.0,2991.461
3008.0,3005.157
3014.0,3005.157
2985.0,2985.8782
2967.0,2971.7786
2994.0,2992.6145
2986.0,2988.7725
3030.0,3028.076
3044.0,3035.8008
3022.0,3023.567
2991.0,2991.9011
2988.0,2987.047
2964.0,2966.1826
2967.0,2967.3374
2972.0,2969.0964
2993.0000000000005,2988.6807
3000.0,2996.9424
3010.0,2996.161
3007.0,2999.6887
2998.0,2990.2905
3010.0,3002.0027
2983.9999999999995,2987.9395
2955.0,2964.2378
2942.9999999999995,2943.4612
2936.0,2939.7507
2944.0,2946.3901
2922.0,2931.8542
2935.0,2933.8335
2875.0,2893.2842
2875.0,2879.366
2891.0,2887.8572
2881.0,2886.3005
2896.0,2888.1885
2851.0,2853.7822
2867.0000000000005,2861.6555
2886.0,2872.6194
2888.0,2872.9568
2880.0,2882.1738
2887.0,2889.628
2905.0000000000005,2889.628
2901.9999999999995,2889.628
2900.0,2882.9949
2857.0,2858.9902
2829.0,2833.1082
2786.0,2805.621
2797.0,2810.3025
2815.0,2836.3408
2811.0,2835.2432
2780.0,2803.9639
2704.0,2732.8782
2719.0,2740.5244
2690.9999999999995,2716.8518
2688.0,2714.6345
2718.0,2727.6602
2726.0,2725.363
2743.0,2732.5999
2711.0,2707.9402
2705.0,2701.1484
2707.0,2703.0269
2682.0,2683.8462
2681.0,2681.3474
2611.9999999999995,2623.7883
2620.0,2623.7883
2618.0000000000005,2618.209
2564.0,2588.7786
2599.0,2614.902
2625.0,2640.8584
2646.9999999999995,2651.487
2672.0,2671.5415
2670.0,2671.127
2667.0,2671.127
2684.0,2675.2341
2685.0,2675.4917
2658.0,2657.9353
2688.0,2674.5037
2685.0,2688.625
2705.0,2707.0708
2722.0,2710.6707
2707.0,2704.8516
2757.0,2750.169
2718.0,2720.2983
2755.0,2747.068
2725.0,2721.2332
2687.0,2694.3062
2686.0,2699.9648
2688.0,2693.3552
2737.0,2735.4907
2755.0,2739.3362
2726.0,2730.0886
2759.0,2764.008
2806.0,2799.0571
2792.0,2790.9048
2797.0,2796.4917
2799.0,2795.546
2790.0,2789.5588
2801.0,2801.102
2827.0,2817.809
2797.0,2801.4421
2805.0,2801.7417
2816.9999999999995,2831.308
2839.0,2840.8162
2839.0,2837.5278
2831.0,2826.91
2835.0,2829.727
2848.0,2845.6218
2834.0,2839.647
2849.0,2846.7563
2846.0,2842.6807
2828.0,2827.7024
2782.0000000000005,2792.6526
2777.0,2790.236
2755.0,2762.6277
2766.0,2775.762
2772.9999999999995,2776.8655
2804.0,2832.2297
2827.0,2835.7744
2840.0,2840.6252
2842.0,2844.5774
2870.0000000000005,2867.2812
2855.0,2850.2388
2855.0,2840.0908
2853.0,2847.7686
2855.0,2857.9868
2878.0,2881.9402
2880.0,2876.6575
2856.0,2866.885
2871.0,2866.5063
2873.0,2866.8628
2857.0,2859.0403
2885.0,2867.4731
2882.0,2873.3706
2857.0,2858.9043
2840.0,2848.2053
2867.0000000000005,2865.9065
2887.0,2882.2168
2892.0,2884.4197
2871.0,2868.8184
2875.0,2872.4434
2881.0,2872.077
2851.0,2853.6392
2840.0,2847.9822
2828.0,2838.2344
2813.9999999999995,2834.1523
2816.0,2835.6853
2853.0,2869.4612
2856.0,2870.369
2879.0,2881.43
2889.0,2889.8005
2934.0,2917.8892
2936.0,2917.2854
2912.0,2884.506
2908.0000000000005,2879.6133
2887.0,2879.098
2886.0,2882.257
2834.0,2832.3716
2828.0,2827.2014
2808.0,2820.51
2829.0,2830.2002
2816.9999999999995,2834.3005
2811.0,2825.2773
2816.0,2815.7952
2787.0,2791.0293
2791.0,2812.5708
2816.9999999999995,2840.3604
2787.0,2790.8174
2761.0,2782.155
2745.0,2754.9277
2754.0,2772.137
2752.0,2769.7158
2775.9999999999995,2786.456
2788.0,2793.3103
2822.0,2815.3306
2816.0,2814.8289
2824.0,2815.3306
2840.0,2845.6777
2875.0,2863.308
2878.0,2849.233
2886.0,2849.156
2890.0,2859.1216
2874.0,2850.5986
2873.0,2839.5183
2880.0,2854.3733
2877.0,2859.4875
2880.0,2860.7158
2884.0,2884.4517
2898.0,2889.8086
2874.0,2867.8875
2859.0,2865.0464
2892.0,2868.047
2842.0,2840.0164
2830.0,2837.4744
2834.0,2835.7185
2837.0,2834.16
2788.0,2816.1128
2794.0,2812.2122
2786.0,2815.416
2771.0,2776.256
2769.0,2769.3516
2793.0,2783.2922
2853.0,2854.2395
2846.0,2841.8303
2856.0,2856.2827
2868.0,2856.2827
2877.0,2865.1414
2875.0,2843.0718
2877.0,2861.559
2863.0,2846.7563
2867.0000000000005,2838.8745
2844.0,2831.3826
2837.0,2838.2612
