y_true,y_pred,error,error_pct
2855.0,2849.9949,5.005126953125,0.17531092655429073
2843.0,2849.9949,-6.994873046875,-0.24603844695304258
2863.0,2849.9949,13.005126953125,0.45424823447869367
2854.0,2849.9949,4.005126953125,0.14033381055098107
2889.0,2849.9949,39.005126953125,1.350125543548806
2885.0,2849.9949,35.005126953125,1.2133492878032928
2896.0,2849.9949,46.005126953125,1.5885748257294545
2906.0,2851.096,54.904052734375,1.8893342303639025
2901.9999999999995,2851.096,50.904052734374545,1.7541024374353742
2887.0,2851.096,35.904052734375,1.243645747640284
2863.0,2853.415,9.5849609375,0.3347873188089417
2855.0,2853.415,1.5849609375,0.05551526926444834
2842.0,2851.096,-9.095947265625,-0.3200544428439479
2840.0,2851.096,-11.095947265625,-0.3907023685079225
2834.0,2849.9949,-15.994873046875,-0.5643921329172548
2869.0,2849.9949,19.005126953125,0.6624303573762635
2951.0,2819.7324,131.267578125,4.448240532870214
2924.0,2849.9949,74.005126953125,2.5309550941561216
2914.0,2849.9949,64.005126953125,2.196469696400995
2919.0,2819.7324,99.267578125,3.400739230044536
2917.0,2819.7324,97.267578125,3.3345073063078505
2949.0000000000005,2833.613,115.38696289062545,3.912748826403033
2970.0,2833.613,136.386962890625,4.592153632680977
2967.0,2830.94,136.06005859375,4.585778853850691
2991.0,2830.94,160.06005859375,5.351389454822802
3008.0,2830.94,177.06005859375,5.88630513941988
3014.0,2846.8765,167.12353515625,5.544908266630723
2985.0,2846.8765,138.12353515625,4.627254109087102
2967.0,2848.1746,118.825439453125,4.0049019027005395
2994.0,2848.1746,145.825439453125,4.870589160091016
2986.0,2848.1746,137.825439453125,4.615721348061788
3030.0,2846.8765,183.12353515625,6.043681028259075
3044.0,2830.94,213.06005859375,6.999344894669843
3022.0,2833.613,188.386962890625,6.233850525831404
2991.0,2815.7305,175.26953125,5.859897400534938
2988.0,2819.7324,168.267578125,5.631445051037484
2964.0,2849.9949,114.005126953125,3.8463268202808703
2967.0,2851.096,115.904052734375,3.90643925629845
2972.0,2851.096,120.904052734375,4.068104062394852
2993.0000000000005,2851.096,141.90405273437545,4.74119788621368
3000.0,2853.415,146.5849609375,4.886165364583333
3010.0,2849.1506,160.849365234375,5.343832732039036
3007.0,2849.0918,157.908203125,5.25135361240439
2998.0,2849.0918,148.908203125,4.966918049533022
3010.0,2849.0918,160.908203125,5.345787479235881
2983.9999999999995,2836.5608,147.43920898437455,4.940992258189496
2955.0,2853.415,101.5849609375,3.437731334602369
2942.9999999999995,2851.096,91.90405273437455,3.1228016559420513
2936.0,2849.9949,86.005126953125,2.929329937095538
2944.0,2849.9949,94.005126953125,3.193108931831692
2922.0,2849.9949,72.005126953125,2.464241168827002
2935.0,2849.9949,85.005126953125,2.8962564549616694
2875.0,2851.096,23.904052734375,0.8314453125
2875.0,2853.415,21.5849609375,0.75078125
2891.0,2853.415,37.5849609375,1.300067829038395
2881.0,2853.415,27.5849609375,0.9574786857861852
2896.0,2849.1506,46.849365234375,1.6177267000820097
2851.0,2849.0918,1.908203125,0.06693101104875483
2867.0000000000005,2849.0918,17.908203125000455,0.6246321285315819
2886.0,2849.0918,36.908203125,1.2788705171517671
2888.0,2849.0918,38.908203125,1.3472369503116344
2880.0,2849.0918,30.908203125,1.0732014973958335
2887.0,2842.1265,44.87353515625,1.554330971813301
2905.0000000000005,2842.1265,62.873535156250455,2.1643213478915815
2901.9999999999995,2842.1265,59.873535156249545,2.0631817765764837
2900.0,2842.1265,57.87353515625,1.9956391433189655
2857.0,2849.0918,7.908203125,0.27680094942247113
2829.0,2849.0918,-20.091796875,-0.7102084437963945
2786.0,2849.0918,-63.091796875,-2.2646014671572146
2797.0,2849.0918,-52.091796875,-1.8624167634966036
2815.0,2849.0918,-34.091796875,-1.2110762655417406
2811.0,2849.0918,-38.091796875,-1.355097718783351
2780.0,2842.1265,-62.12646484375,-2.23476492243705
2704.0,2842.0193,-138.019287109375,-5.1042635765301405
2719.0,2841.1272,-122.127197265625,-4.4916218192579995
2690.9999999999995,2803.3403,-112.34033203125045,-4.174668600195113
2688.0,2802.8115,-114.8115234375,-4.271262032645089
2718.0,2785.9927,-67.99267578125,-2.5015701170437823
2726.0,2780.9792,-54.979248046875,-2.016846956965334
2743.0,2755.52,-12.52001953125,-0.456435272739701
2711.0,2755.52,-44.52001953125,-1.6421991712006638
2705.0,2767.8997,-62.899658203125,-2.3253108393022184
2707.0,2767.8997,-60.899658203125,-2.24971031411618
2682.0,2767.8997,-85.899658203125,-3.2028209620851977
2681.0,2755.686,-74.68603515625,-2.78575289654047
2611.9999999999995,2755.686,-143.68603515625045,-5.500996751770692
2620.0,2751.6008,-131.600830078125,-5.022932445729962
2618.0000000000005,2759.948,-141.94799804687455,-5.422001453280157
2564.0,2699.0479,-135.0478515625,-5.26707689401326
2599.0,2668.0667,-69.066650390625,-2.6574317195315507
2625.0,2661.48,-36.47998046875,-1.3897135416666666
2646.9999999999995,2661.48,-14.479980468750455,-0.5470336406781434
2672.0,2641.3225,30.677490234375,1.1481096644601423
2670.0,2644.5515,25.448486328125,0.9531268287687266
2667.0,2644.5515,22.448486328125,0.8417130231767903
2684.0,2664.709,19.291015625,0.7187412676974665
2685.0,2661.48,23.52001953125,0.8759783810521415
2658.0,2668.0667,-10.066650390625,-0.3787302630031979
2688.0,2697.721,-9.720947265625,-0.3616423833937872
2685.0,2731.6384,-46.638427734375,-1.7369991707402235
2705.0,2731.6384,-26.638427734375,-0.9847847591266173
2722.0,2759.948,-37.947998046875,-1.3941218973870315
