y_true,y_predict,error
2841.9999999999995,2698.562,143.43798828124955
2860.0,2698.562,161.43798828125
2855.0,2698.562,156.43798828125
2843.0,2698.562,144.43798828125
2863.0,2698.562,164.43798828125
2854.0,2698.562,155.43798828125
2889.0,2698.562,190.43798828125
2885.0,2698.562,186.43798828125
2896.0,2698.562,197.43798828125
2906.0000000000005,2698.562,207.43798828125045
2901.9999999999995,2698.562,203.43798828124955
2887.0,2698.562,188.43798828125
2863.0,2698.562,164.43798828125
2855.0,2698.562,156.43798828125
2841.9999999999995,2698.562,143.43798828124955
2839.9999999999995,2698.562,141.43798828124955
2834.0,2698.562,135.43798828125
2869.0,2698.562,170.43798828125
2951.0,2698.562,252.43798828125
2924.0,2698.562,225.43798828125
2914.0,2698.562,215.43798828125
2919.0,2698.562,220.43798828125
2917.0,2698.562,218.43798828125
2949.0,2698.562,250.43798828125
2970.0,2698.562,271.43798828125
2967.0,2698.562,268.43798828125
2991.0,2698.562,292.43798828125
3008.0,2698.562,309.43798828125
3014.0,2698.562,315.43798828125
2985.0,2698.562,286.43798828125
2967.0,2698.562,268.43798828125
2994.0,2698.562,295.43798828125
2986.0,2698.562,287.43798828125
3030.0,2698.562,331.43798828125
3044.0,2698.562,345.43798828125
3022.0,2698.562,323.43798828125
2991.0,2698.562,292.43798828125
2988.0,2698.562,289.43798828125
2963.9999999999995,2698.562,265.43798828124955
2967.0,2698.562,268.43798828125
2972.0,2698.562,273.43798828125
2992.9999999999995,2698.562,294.43798828124955
3000.0,2698.562,301.43798828125
3010.0,2698.562,311.43798828125
3007.0,2698.562,308.43798828125
2998.0,2698.562,299.43798828125
3010.0,2698.562,311.43798828125
2984.0,2698.562,285.43798828125
2955.0,2698.562,256.43798828125
2943.0,2698.562,244.43798828125
2936.0,2698.562,237.43798828125
2944.0,2698.562,245.43798828125
2922.0,2698.562,223.43798828125
2935.0000000000005,2698.562,236.43798828125045
2875.0000000000005,2698.562,176.43798828125045
2875.0000000000005,2698.562,176.43798828125045
2891.0,2698.562,192.43798828125
2881.0,2698.562,182.43798828125
2896.0,2698.562,197.43798828125
2851.0,2698.562,152.43798828125
2867.0,2698.562,168.43798828125
2886.0,2698.562,187.43798828125
2888.0,2698.562,189.43798828125
2880.0,2698.562,181.43798828125
2887.0,2698.562,188.43798828125
2905.0,2698.562,206.43798828125
2901.9999999999995,2698.562,203.43798828124955
2900.0,2698.562,201.43798828125
2857.0,2698.562,158.43798828125
2829.0,2698.562,130.43798828125
2786.0,2698.562,87.43798828125
2797.0,2698.562,98.43798828125
2815.0000000000005,2698.562,116.43798828125045
2810.9999999999995,2698.562,112.43798828124955
2779.9999999999995,2698.562,81.43798828124955
2704.0,2698.562,5.43798828125
2719.0,2698.562,20.43798828125
2691.0000000000005,2694.1694,-3.1694335937495453
2688.0,2694.1694,-6.16943359375
2717.9999999999995,2658.28,59.719970703124545
2726.0,2664.3484,61.651611328125
2743.0,2664.3484,78.651611328125
2711.0,2677.1792,33.82080078125
2705.0,2677.1792,27.82080078125
2707.0,2664.3484,42.651611328125
2682.0,2659.7944,22.20556640625
2681.0,2653.726,27.27392578125
2612.0,2653.726,-41.72607421875
2620.0,2638.9043,-18.904296875
2618.0,2619.5886,-1.588623046875
2564.0,2609.5886,-45.588623046875
2599.0,2600.6704,-1.67041015625
2625.0,2600.6704,24.32958984375
2647.0,2601.1428,45.857177734375
2672.0,2601.1428,70.857177734375
2670.0,2609.8584,60.1416015625
2667.0,2634.5369,32.463134765625
2684.0,2640.1309,43.869140625
2685.0,2640.7646,44.2353515625
2657.9999999999995,2640.1309,17.869140624999545
2688.0,2640.7646,47.2353515625
2685.0,2649.7954,35.20458984375
2705.0,2649.7954,55.20458984375
2722.0000000000005,2653.726,68.27392578125045
2707.0,2659.7944,47.20556640625
2757.0,2677.1792,79.82080078125
2717.9999999999995,2694.1694,23.830566406249545
2755.0,2694.1694,60.83056640625
2725.0,2694.1694,30.83056640625
2686.9999999999995,2694.1694,-7.169433593750455
2686.0,2694.1694,-8.16943359375
2688.0,2674.0554,13.944580078125
2737.0,2653.726,83.27392578125
2755.0,2658.0334,96.966552734375
2726.0,2664.3484,61.651611328125
2759.0,2687.7068,71.293212890625
2806.0,2694.1694,111.83056640625
2792.0,2694.1694,97.83056640625
2797.0,2694.1694,102.83056640625
2799.0,2694.1694,104.83056640625
2790.0,2696.1812,93.81884765625
2801.0,2694.1694,106.83056640625
2827.0,2694.1694,132.83056640625
2797.0,2696.1812,100.81884765625
2805.0,2696.1812,108.81884765625
2817.0,2698.562,118.43798828125
2839.0,2698.562,140.43798828125
2839.0,2698.562,140.43798828125
2831.0,2698.562,132.43798828125
2835.0,2698.562,136.43798828125
2848.0,2698.562,149.43798828125
2834.0,2698.562,135.43798828125
2849.0,2698.562,150.43798828125
2846.0000000000005,2698.562,147.43798828125045
2828.0,2698.562,129.43798828125
2782.0000000000005,2698.562,83.43798828125045
2777.0,2698.562,78.43798828125
2755.0,2696.8457,58.154296875
2766.0,2693.9229,72.0771484375
2773.0,2689.6157,83.38427734375
2804.0,2689.6157,114.38427734375
2827.0,2689.6157,137.38427734375
2839.9999999999995,2689.6157,150.38427734374955
2841.9999999999995,2694.1694,147.83056640624955
2870.0,2696.1812,173.81884765625
2855.0,2698.562,156.43798828125
2855.0,2698.562,156.43798828125
2853.0,2698.562,154.43798828125
2855.0,2698.562,156.43798828125
2878.0,2698.562,179.43798828125
2880.0,2698.562,181.43798828125
2856.0,2698.562,157.43798828125
2870.9999999999995,2698.562,172.43798828124955
