strategy,r2,mae,rmse,mape
GRU,-40.93112040451444,590.5414975922683,593.8862597516146,20.762923916462718
简单平均,-46.108710265240205,625.9833500303071,629.4853847140664,22.00885105045734
加权集成,-46.108710265240205,625.9833500303071,629.4853847140664,22.00885105045734
LSTM,-51.59006302255577,661.4251824740705,665.0999108741827,23.254777462579977
