Model,R²,MAE,RMSE
GRU,0.7371324721130214,0.029897570933814444,0.035554178095134524
LSTM,0.28665383851198667,0.050155688942212624,0.058569610704357775
Stacking,0.03385462906308656,0.05493235867512215,0.06816217057589571
