模型,最终训练R²,最终验证R²,R²差距,诊断结果
LSTM最终模型,0.9888883032276069,0.8663866972764838,0.12250160595112314,中度过拟合
GRU最终模型,0.9941780228172642,0.9221421177235984,0.07203590509366575,轻微过拟合
