date1,price1,date2,price2
18/8/2020,2274,12/8/2020,8241.3421
19/8/2020,2258,13/8/2020,8356.0236
20/8/2020,2257,14/8/2020,8377.5333
21/8/2020,2252,17/8/2020,8419.9675
24/8/2020,2234,18/8/2020,8541.0398
25/8/2020,2230,19/8/2020,8489.5491
26/8/2020,2238,20/8/2020,8338.8351
27/8/2020,2235,21/8/2020,8430.095
28/8/2020,2218,24/8/2020,8624.1198
31/8/2020,2221,25/8/2020,8496.2822
1/9/2020,2227,26/8/2020,8329.4345
2/9/2020,2234,27/8/2020,8446.5434
3/9/2020,2235,28/8/2020,8720.7086
4/9/2020,2239,31/8/2020,8715.7935
7/9/2020,2250,1/9/2020,8766.4421
8/9/2020,2261,2/9/2020,8794.6734
9/9/2020,2261,3/9/2020,8614.5557
10/9/2020,2295,4/9/2020,8508.8096
11/9/2020,2311,7/9/2020,8086.0006
14/9/2020,2271,8/9/2020,8017.846
15/9/2020,2381,9/9/2020,7698.0837
16/9/2020,2379,10/9/2020,7667.4927
17/9/2020,2398,11/9/2020,7731.855
18/9/2020,2418,14/9/2020,7675.2496
21/9/2020,2443,15/9/2020,7713.2245
22/9/2020,2436,16/9/2020,7627.8495
23/9/2020,2417,17/9/2020,7513.3519
24/9/2020,2394,18/9/2020,7609.6743
25/9/2020,2390,21/9/2020,7535.7503
28/9/2020,2425,22/9/2020,7445.2723
29/9/2020,2424,23/9/2020,7540.7348
30/9/2020,2417,24/9/2020,7404.3274
9/10/2020,2491,25/9/2020,7417.0024
12/10/2020,2519,28/9/2020,7331.0893
13/10/2020,2532,29/9/2020,7437.5588
14/10/2020,2553,30/9/2020,7401.2692
15/10/2020,2542,9/10/2020,7566.8701
16/10/2020,2527,12/10/2020,7768.4213
19/10/2020,2559,13/10/2020,7932.9732
20/10/2020,2555,14/10/2020,7818.1658
21/10/2020,2550,15/10/2020,7673.681
22/10/2020,2540,16/10/2020,7631.7517
23/10/2020,2535,19/10/2020,7522.0282
26/10/2020,2544,20/10/2020,7611.1439
27/10/2020,2547,21/10/2020,7529.4728
28/10/2020,2551,22/10/2020,7388.4053
29/10/2020,2560,23/10/2020,7221.1059
30/10/2020,2565,26/10/2020,7254.8366
2/11/2020,2548,27/10/2020,7385.3094
3/11/2020,2517,28/10/2020,7391.5397
4/11/2020,2517,29/10/2020,7465.3705
5/11/2020,2518,30/10/2020,7269.1859
6/11/2020,2520,2/11/2020,7281.7926
9/11/2020,2490,3/11/2020,7354.0664
10/11/2020,2492,4/11/2020,7305.9133
11/11/2020,2495,5/11/2020,7386.797
12/11/2020,2495,6/11/2020,7238.2438
13/11/2020,2526,9/11/2020,7363.4753
16/11/2020,2589,10/11/2020,7374.5833
17/11/2020,2591,11/11/2020,7329.6458
18/11/2020,2590,12/11/2020,7283.8605
19/11/2020,2604,13/11/2020,7233.6215
20/11/2020,2601,16/11/2020,7390.0656
23/11/2020,2604,17/11/2020,7325.8487
24/11/2020,2588,18/11/2020,7330.3384
25/11/2020,2572,19/11/2020,7483.6914
27/11/2020,2579,20/11/2020,7488.1337
30/11/2020,2598,23/11/2020,7470.8332
1/12/2020,2603,24/11/2020,7431.5086
2/12/2020,2596,25/11/2020,7284.1532
3/12/2020,2589,26/11/2020,7296.0261
4/12/2020,2570,27/11/2020,7402.9659
7/12/2020,2561,30/11/2020,7339.9806
8/12/2020,2545,1/12/2020,7436.6414
9/12/2020,2542,2/12/2020,7461.1665
10/12/2020,2547,3/12/2020,7527.0291
11/12/2020,2535,4/12/2020,7529.7138
14/12/2020,2521,7/12/2020,7604.9614
15/12/2020,2505,8/12/2020,7558.5455
16/12/2020,2521,9/12/2020,7404.9512
17/12/2020,2535,10/12/2020,7392.778
18/12/2020,2540,11/12/2020,7297.1526
21/12/2020,2549,14/12/2020,7488.9276
22/12/2020,2554,15/12/2020,7461.5619
23/12/2020,2574,16/12/2020,7477.4084
24/12/2020,2586,17/12/2020,7475.1978
28/12/2020,2630,18/12/2020,7415.085
29/12/2020,2632,21/12/2020,7589.5703
30/12/2020,2657,22/12/2020,7409.1246
31/12/2020,2683,23/12/2020,7523.8664
4/1/2021,2709,24/12/2020,7505.8094
5/1/2021,2706,25/12/2020,7569.0699
6/1/2021,2725,28/12/2020,7674.4675
7/1/2021,2742,29/12/2020,7519.434
8/1/2021,2756,30/12/2020,7590.1014
11/1/2021,2820,31/12/2020,7663.806
12/1/2021,2820,4/1/2021,8093.3919
13/1/2021,2872,5/1/2021,8418.2378
14/1/2021,2813,6/1/2021,8435.1609
15/1/2021,2734,7/1/2021,8500.3613
19/1/2021,2867,8/1/2021,8296.6551
20/1/2021,2839,11/1/2021,7998.6079
21/1/2021,2849,12/1/2021,8100.8331
22/1/2021,2820,13/1/2021,8000.531
25/1/2021,2777,14/1/2021,7805.9357
26/1/2021,2767,15/1/2021,7772.0853
27/1/2021,2769,18/1/2021,7876.5429
28/1/2021,2738,19/1/2021,7716.8357
29/1/2021,2710,20/1/2021,7787.4097
1/2/2021,2735,21/1/2021,7943.2275
2/2/2021,2760,22/1/2021,7948.5843
3/2/2021,2754,25/1/2021,8027.3155
4/2/2021,2771,26/1/2021,8161.4647
5/2/2021,2801,27/1/2021,8303.0212
8/2/2021,2825,28/1/2021,8159.1056
9/2/2021,2805,29/1/2021,7976.2841
10/2/2021,2816,1/2/2021,8090.0889
18/2/2021,2835,2/2/2021,8191.6432
19/2/2021,2823,3/2/2021,8340.5125
22/2/2021,2831,4/2/2021,8271.5941
23/2/2021,2823,5/2/2021,8272.8022
24/2/2021,2831,8/2/2021,8524.5319
25/2/2021,2854,9/2/2021,8703.7867
26/2/2021,2851,10/2/2021,8902.2193
1/3/2021,2835,18/2/2021,8845.7032
2/3/2021,2832,19/2/2021,9109.9527
3/3/2021,2830,22/2/2021,9056.3044
4/3/2021,2838,23/2/2021,8860.1557
5/3/2021,2843,24/2/2021,8674.9399
8/3/2021,2840,25/2/2021,8637.0511
9/3/2021,2840,26/2/2021,8453.6829
10/3/2021,2736,1/3/2021,8572.1644
11/3/2021,2810,2/3/2021,8456.7319
12/3/2021,2827,3/3/2021,8480.5804
15/3/2021,2697,4/3/2021,8205.3628
16/3/2021,2710,5/3/2021,8102.2416
17/3/2021,2718,8/3/2021,7768.3751
18/3/2021,2695,9/3/2021,7543.641
19/3/2021,2699,10/3/2021,7537.1878
