MLP,CNN,BP,RNN,LSTM,GRU,XGBoost,GRU+LSTM+Xgboost
0.0177,0.0221,0.0192,0.0163,0.0184,0.0169,0.033441178,0.005878639
0.031896499,0.02389521,0.060770651,0.023174949,0.027424116,0.01642045,0.033441178,0.006445219
0.032932263,0.024480342,0.019180612,0.022198396,0.018301383,0.016258145,0.033441178,0.005819861
