MLP,CNN,BP,RNN,LSTM,GRU,XGBoost,GRU+LSTM+Xgboost
0.000966009,0.000787591,0.000587539,0.000674723,0.000533401,0.000444453,0.002280907,0.000056
0.000898127,0.000766039,0.001061992,0.001061471,0.000449166,0.000357083,0.002280907,0.000071
0.001348589,0.000788349,0.001297576,0.000751246,0.00057457,0.000748088,0.002280907,0.000057
