Model,Final Train R^2,Final Val R^2,R^2 Gap,Diagnosis
LSTM Final Model,0.983002640930455,0.8740432293618795,0.10895941156857547,Moderate Overfitting
GRU Final Model,0.9809700344094997,0.8974956542938113,0.08347438011568842,Mild Overfitting
