特征代码,特征名称,移除后性能下降,单独使用性能,综合重要性得分
IR,利率,0.20365307002272193,0.8491859396855277,0.5264195048541248
FP.CFI,农产品期货指数,0.038085560960646525,0.8523596420387695,0.445222601499708
CFD,美国玉米期货价格,-0.02040222068027031,0.860251405396284,0.41992459235800683
EPU,经济政策不确定性,-0.02288904477680964,0.8596105255165077,0.41836074036984905
GPR,地缘政治风险,-0.129824137011034,0.8524336341608101,0.36130474857488803
TR,国债利率,-0.1389313936528931,0.8371952181258402,0.34913191223647355
ine,原油期货价格,-0.11276254550956788,0.8098604146813272,0.34854893458587966
ER,汇率,-0.11237410781439094,0.8007262477109166,0.34417606994826283
