特征代码,特征名称,移除后性能下降,单独使用性能,综合重要性得分
IR,利率,0.03724868505379919,0.8304623276212758,0.4338555063375375
FP.CFI,农产品期货指数,-0.020424141464485568,0.8608841342081787,0.42022999637184655
ine,原油期货价格,-0.044722311182838426,0.831612518047912,0.3934451034325368
GPR,地缘政治风险,-0.07550656452922833,0.8145210087170357,0.3695072220939037
TR,国债利率,-0.11078236451586909,0.8427770992455035,0.3659973673648172
EPU,经济政策不确定性,-0.11929440206287367,0.8474536893655491,0.3640796436513377
ER,汇率,-0.08118425730965773,0.7897415949553317,0.354278668822837
CFD,美国玉米期货价格,-0.10070638359287765,0.7328639966698047,0.31607880653846354
