特征代码,特征名称,移除后性能下降,单独使用性能,综合重要性得分
IR,利率,0.1887965335848404,0.8267089046231944,0.5077527191040174
CFD,美国玉米期货价格,0.06089933100731104,0.8734246607351211,0.4671619958712161
ine,原油期货价格,0.06103386414392764,0.7866580177708002,0.42384594095736394
GPR,地缘政治风险,-0.01425588496434882,0.8600330092743748,0.42288856215501297
EPU,经济政策不确定性,-0.015981321476958743,0.8589779904934468,0.42149833450824403
TR,国债利率,-0.03772542214317853,0.8586994383720641,0.4104870081144428
FP.CFI,农产品期货指数,-0.005211340674632914,0.7789844813829756,0.38688657035417134
ER,汇率,-0.04393962671980356,0.8003658355780252,0.3782131044291108
