特征代码,特征名称,移除后性能下降,单独使用性能,综合重要性得分
CFD,美国玉米期货价格,-0.021104765316554808,0.7367583977758252,0.3578268162296352
ER,汇率,-0.039657550208950676,0.7179734889123255,0.3391579693516874
IR,利率,-0.030014089197684335,0.7049564054414802,0.33747115812189793
EPU,经济政策不确定性,-0.04737225584558802,0.7210118066741493,0.33681977541428065
TR,国债利率,0.03070046253846126,0.5089418732979336,0.26982116791819744
GPR,地缘政治风险,0.035506228359669656,0.3722847659486215,0.20389549715414557
ine,原油期货价格,-0.025876139728454373,0.14407895081733135,0.05910140554443849
FP.CFI,农产品期货指数,-0.029728724699481512,0.06713632624474553,0.018703800772632007
