特征代码,特征名称,移除后性能下降,单独使用性能,综合重要性得分
ine,原油期货价格,0.1509381520544978,0.7889730475813084,0.4699555998179031
EPU,经济政策不确定性,0.07720928357148682,0.7574349930561446,0.4173221383138157
FP.CFI,农产品期货指数,-0.03285862054037969,0.8263443771566885,0.3967428783081544
GPR,地缘政治风险,0.004594924580538562,0.7579072694040885,0.3812510969923135
CFD,美国玉米期货价格,0.028005827091788782,0.7334078039369558,0.3807068155143723
ER,汇率,-0.1590843381864283,0.8330421061265617,0.3369788839700667
IR,利率,0.036712030945789675,0.6217672419100823,0.32923963642793597
TR,国债利率,-0.14258694163081254,0.784432306216005,0.32092268229259624
