特征代码,特征名称,移除后性能下降,单独使用性能,综合重要性得分
FP.CFI,农产品期货指数,0.10375718080974539,0.8517569115978323,0.47775704620378884
EPU,经济政策不确定性,0.04061345583141829,0.8138696294743385,0.4272415426528784
TR,国债利率,-0.0038546570599596874,0.8444816148416021,0.4203134788908212
IR,利率,0.03539648252225147,0.7821323387824315,0.4087644106523415
CFD,美国玉米期货价格,0.016911406513235305,0.7745978439487433,0.3957546252309893
GPR,地缘政治风险,-0.005900308261210019,0.7907435434347179,0.3924216175867539
ine,原油期货价格,-0.021039218657482706,0.8034652579096282,0.39121301962607274
ER,汇率,-0.024232008510583047,0.7408324795840493,0.3583002355367331
