特征代码,特征名称,移除后性能下降,单独使用性能,综合重要性得分
IR,利率,0.08683064237385518,0.8612610349293723,0.47404583865161376
FP.CFI,农产品期货指数,0.006620706364212636,0.8675952257995714,0.437107966081892
CFD,美国玉米期货价格,0.005959911437920962,0.8634127553028872,0.4346863333704041
TR,国债利率,0.013540904624732342,0.8412765044658784,0.4274087045453054
GPR,地缘政治风险,-0.026109445748446092,0.8525043430862723,0.4131974486689131
EPU,经济政策不确定性,-0.03387753253049164,0.8444062706846381,0.40526436907707325
ine,原油期货价格,-0.06514885867826226,0.7368656061494392,0.33585837373558847
ER,汇率,-0.07060603444373204,0.6339101145764969,0.28165204006638245
