特征代码,特征名称,移除后性能下降,单独使用性能,综合重要性得分
FP.CFI,农产品期货指数,-0.15085432089010364,0.8677954161298188,0.3584705476198576
IR,利率,-0.14441280740825313,0.861189322347394,0.3583882574695704
CFD,美国玉米期货价格,-0.18788718464568555,0.8561762852690532,0.33414455031168383
GPR,地缘政治风险,-0.16311948848553748,0.831311951270485,0.33409623139247374
EPU,经济政策不确定性,-0.19054368146123002,0.8475507229765504,0.3285035207576602
ER,汇率,-0.08648789009748337,0.7285045267138546,0.3210083183081856
ine,原油期货价格,-0.21782548881624708,0.8300192619902067,0.3060968865869798
TR,国债利率,-0.18381300762093755,0.7860761234765522,0.3011315579278073
