特征代码,特征名称,移除后性能下降,单独使用性能,综合重要性得分
ine,原油期货价格,0.3316449499489511,0.7790630999282019,0.5553540249385764
GPR,地缘政治风险,0.918934840135087,0.0894980257849507,0.5042164329600188
FP.CFI,农产品期货指数,-0.13804342883792176,0.8244102180824796,0.3431833946222789
TR,国债利率,0.3062154959920743,0.041067823363813094,0.1736416596779437
IR,利率,-0.09538103701104395,0.2531691798828902,0.07889407143592314
EPU,经济政策不确定性,-0.1286650141044775,0.07128906414645897,-0.028687974979009268
CFD,美国玉米期货价格,-0.05378621097733327,-0.1307111030704433,-0.09224865702388829
ER,汇率,-0.20120822019319118,-0.023874535586677847,-0.11254137788993451
