划分比例,训练集样本数,测试集样本数,R²,MAE,RMSE,MAPE
75%,897,299,-915.1260600813284,2818.6900157663335,2820.2272320740663,0.9996651889593169
80%,956,240,-982.4920499620733,2837.82555954357,2839.2671318218886,0.9996660076690485
