事件,事件日期,事件前样本,事件后样本,R²,MAE,RMSE,事件前价格,事件后均价,价格变化(%)
COVID-19,2020-01-23,21,16,-32333.36081921164,1921.4423480983824,1921.4717067775885,1924,1922.0625,-0.10070166320166321
俄乌冲突,2022-02-24,17,22,-15453.904497810801,2874.258368567987,2874.3506722899247,2805,2875.681818181818,2.519850915572835
