特征代码,特征名称,移除后性能下降,单独使用性能,综合重要性得分,p值,是否显著
IR,利率,0.1425770112926742,0.7974064692558094,0.4699917402742418,0.09316517467634332,否
CFD,美国玉米期货价格,0.044375520709735494,0.8551487839395093,0.4497621523246224,0.3598247050028105,否
GPR,地缘政治风险,-0.012645512901910072,0.8023455630324982,0.39485002506529404,0.7103000833977234,否
TR,国债利率,-0.023586048155762707,0.8085614335328056,0.39248769268852146,0.6468312329572936,否
EPU,经济政策不确定性,-0.033345342148169976,0.8025458775944209,0.38460026772312544,0.3168471737751809,否
FP.CFI,农产品期货指数,0.016222017262746857,0.740545971460447,0.3783839943615969,0.5772277186827128,否
ine,原油期货价格,-0.057965107823225503,0.7932440548437256,0.36763947351025006,0.08738276055878587,否
ER,汇率,-0.0812248839077615,0.7810337218920735,0.349904418992156,0.02363324032303972,是
