experiment,experiment_name,lstm_r2,gru_r2,difference,winner
实验1,原始方法,0.8519651292206177,0.7625512005748618,0.08941392864575592,LSTM
实验2,简化特征,0.7899518779558016,0.7760809741905117,0.013870903765289877,LSTM
实验3,保守参数,0.7946601417231666,0.8261247978938325,-0.03146465617066596,GRU
实验4,早停机制,0.7710514201758447,0.7503039618020318,0.020747458373812866,LSTM
实验5,残差剪裁,0.794436490545147,0.8257970014119494,-0.03136051086680247,GRU
实验6,加权融合50%,0.7918718760505212,0.7935784360636946,-0.001706560013173375,GRU
实验7,最小特征,0.7903408293050391,0.8253307505551553,-0.03498992125011613,GRU
实验8,Ridge回归,0.7317127758341323,0.9125523642297538,-0.18083958839562153,GRU
实验9,终极组合,0.7873947397539274,0.7787677385397365,0.00862700121419091,LSTM
