事件,事件日期,事件前样本,事件后样本,R²,MAE,RMSE,事件前价格,事件后均价,价格变化(%)
COVID-19,2020-01-23,63,58,-0.7681277584501229,58.30776661839978,75.04704719103327,1924,1980.6724137931035,2.945551652448206
俄乌冲突,2022-02-24,58,60,-4.68403112628064,123.79100748697917,146.64826940130206,2805,2928.366666666667,4.398098633392755
