划分比例,训练集样本数,测试集样本数,R²,MAE,RMSE,MAPE
75%,897,299,0.7756030338705492,37.07749954274666,44.13823612327241,0.013029933841459052
80%,956,240,0.7785520891217352,36.1724131266276,42.60461272076619,0.012658414564422871
85%,1016,180,0.855440961343086,24.378578016493055,29.003011555262525,0.008679509888392447
